estimator,min_score,mean_score,max_score,std_score,max_depth,n_estimators,learning_rate,C,gamma,kernel,coef0,degree,n_neighbors,weights,alpha,l1_ratio,loss,penalty
SVC,0.9476584022038568,0.955762421289222,0.9690140845070422,0.006134578751969383,,,,50,,poly,0.5,5,,,,,,
SVC,0.9476584022038568,0.954703796218604,0.9690140845070422,0.006655567824317682,,,,10,,poly,0.5,5,,,,,,
SVC,0.9395604395604396,0.953976453183671,0.9717514124293786,0.009888354532566073,,,,10,,poly,0.5,3,,,,,,
SVC,0.9395604395604396,0.9539705467333919,0.9717514124293786,0.00959901529101373,,,,50,,poly,0.5,3,,,,,,
SVC,0.945054945054945,0.9533978306941672,0.9662921348314606,0.006528350037920371,,,,1,,poly,1,5,,,,,,
SVC,0.9447513812154695,0.9530859487798992,0.9606741573033708,0.006048378925498393,,,,1,,poly,0.5,5,,,,,,
SVC,0.9421487603305785,0.9528495849960267,0.9662921348314606,0.007061685247921636,,,,50,,poly,1,5,,,,,,
SVC,0.9421487603305785,0.9528495849960267,0.9662921348314606,0.007061685247921636,,,,10,,poly,1,5,,,,,,
SVC,0.9344729344729346,0.9498379624364777,0.9690140845070422,0.010099902995081992,,,,50,0.001,rbf,,,,,,,,
SVC,0.9398907103825136,0.949471244516453,0.9690140845070422,0.008321322315365658,,,,10,,poly,1,3,,,,,,
RandomForestClassifier,0.8133333333333335,0.9493386646011045,0.9827586206896551,0.05009383622490297,20,128,,,,,,,,,,,,
SVC,0.936986301369863,0.9484169935938358,0.9662921348314606,0.00832128191366366,,,,50,,poly,0.5,2,,,,,,
RandomForestClassifier,0.802675585284281,0.9480252062670227,0.9772727272727273,0.05099725945187205,20,32,,,,,,,,,,,,
SVC,0.9421487603305785,0.9480079054282411,0.958217270194986,0.005795444441815848,,,,1,,poly,0.5,3,,,,,,
SVC,0.936986301369863,0.9473638808237566,0.9635854341736695,0.007904477388203945,,,,10,,poly,0.5,2,,,,,,
SVC,0.936986301369863,0.9468517662998781,0.9662921348314606,0.00828540891878586,,,,50,,poly,1,3,,,,,,
RandomForestClassifier,0.8184818481848185,0.9466147908031418,0.9771428571428572,0.04634103952304741,12,128,,,,,,,,,,,,
SVC,0.936986301369863,0.9461589884026707,0.9608938547486032,0.007872754036040397,,,,1,,poly,1,3,,,,,,
BaggingClassifier,0.8039867109634551,0.9461519049617481,0.9798270893371758,0.05147006249138034,,128,,,,,,,,,,,,
RandomForestClassifier,0.8223684210526315,0.9449312352915473,0.9717514124293786,0.04380326016998628,12,32,,,,,,,,,,,,
SVC,0.9318801089918256,0.9445096417159672,0.9608938547486032,0.008523595656866062,,,,50,,poly,1,2,,,,,,
XGB,0.75177304964539,0.9426543851872531,0.9828571428571428,0.06947324694052188,12,,0.05,,0.5,,,,,,,,,
SVC,0.9272237196765498,0.9422029053725135,0.9608938547486032,0.009467764207022094,,,,50,,poly,5,5,,,,,,
SVC,0.9272237196765498,0.9422029053725135,0.9608938547486032,0.009467764207022094,,,,10,,poly,5,5,,,,,,
SVC,0.9272237196765498,0.9422029053725135,0.9608938547486032,0.009467764207022094,,,,1,,poly,5,5,,,,,,
SVC,0.9297297297297298,0.9414079923148462,0.9608938547486032,0.008593362028335499,,,,10,,poly,1,2,,,,,,
XGB,0.7364620938628159,0.9409922363433406,0.9828571428571428,0.07248732813135189,12,,0.05,,0.01,,,,,,,,,
BaggingClassifier,0.7655172413793105,0.9402419751332125,0.9771428571428572,0.060809783371947826,,32,,,,,,,,,,,,
XGB,0.7357142857142857,0.9391844066465114,0.9828571428571428,0.07315523238205554,20,,0.05,,0.01,,,,,,,,,
SVC,0.9173333333333333,0.938876121550671,0.9555555555555556,0.010480745768225743,,,,50,,poly,5,3,,,,,,
SVC,0.9173333333333333,0.938876121550671,0.9555555555555556,0.010480745768225743,,,,10,,poly,5,3,,,,,,
XGB,0.7292418772563177,0.9388295738946797,0.9828571428571428,0.07463306637938918,20,,0.05,,0,,,,,,,,,
XGB,0.72,0.9387591435133682,0.9800569800569799,0.07705380026484274,20,,0.05,,0.1,,,,,,,,,
XGB,0.7318840579710145,0.9384827396091792,0.9828571428571428,0.07408128551837219,12,,0.05,,0.1,,,,,,,,,
XGB,0.7194244604316548,0.9383847734857349,0.9856733524355301,0.07758713721769296,20,,0.05,,0.001,,,,,,,,,
RandomForestClassifier,0.7304964539007093,0.9381356193395302,0.9771428571428572,0.07248909722605593,20,16,,,,,,,,,,,,
XGB,0.7058823529411763,0.9376605508290767,0.9856733524355301,0.08134912593296,12,,0.05,,0,,,,,,,,,
SVC,0.9217877094972068,0.9376480931932807,0.9555555555555556,0.012256872285152456,,,,10,0.001,rbf,,,,,,,,
XGB,0.7246376811594203,0.9375537510968742,0.9800569800569799,0.0759228159054205,12,,0.05,,0.001,,,,,,,,,
XGB,0.7127272727272727,0.9371575841058084,0.9828571428571428,0.07963436621557811,20,,0.05,,0.5,,,,,,,,,
SVC,0.9076517150395778,0.936610405453002,0.9555555555555556,0.011738814690357962,,,,1,,poly,5,3,,,,,,
XGB,0.6842105263157895,0.9361024247217863,0.9828571428571428,0.08886449008772904,12,,0.1,,0,,,,,,,,,
XGB,0.6891385767790261,0.9360449153027011,0.9828571428571428,0.08783665691676855,12,,0.1,,0.001,,,,,,,,,
SVC,0.91005291005291,0.9358049497389482,0.9502762430939227,0.012296601117579081,,,,50,,poly,5,2,,,,,,
XGB,0.679245283018868,0.9355939724683482,0.9828571428571428,0.09054062720196138,12,,0.1,,0.5,,,,,,,,,
XGB,0.6891385767790261,0.935382518490633,0.9800569800569799,0.08757603473466448,12,,0.1,,0.01,,,,,,,,,
XGB,0.6816479400749065,0.9352020997582995,0.9855907780979827,0.08968960587797146,20,,0.1,,0.01,,,,,,,,,
RandomForestClassifier,0.7866666666666667,0.9345403015729371,0.9771428571428572,0.05646904798909987,12,16,,,,,,,,,,,,
XGB,0.6791044776119404,0.9343543578184133,0.9800569800569799,0.09025165446934995,12,,0.1,,0.1,,,,,,,,,
XGB,0.6742424242424242,0.9340052122538036,0.9856733524355301,0.0929130023759834,20,,0.1,,0,,,,,,,,,
XGB,0.6742424242424242,0.9332703902177414,0.9856733524355301,0.09224263715914081,20,,0.1,,0.001,,,,,,,,,
SVC,0.9052631578947368,0.9327887567576736,0.9529085872576177,0.011380987203858325,,,,10,,poly,5,2,,,,,,
XGB,0.6666666666666667,0.9326285149509825,0.9828571428571428,0.09320671932018344,6,,0.05,,0.1,,,,,,,,,
XGB,0.6742424242424242,0.9319472592878342,0.9828571428571428,0.09084721489827809,6,,0.05,,0.5,,,,,,,,,
XGB,0.6691729323308272,0.9319169790307974,0.9828571428571428,0.09301041391964779,20,,0.1,,0.1,,,,,,,,,
XGB,0.6692015209125475,0.9317940164202756,0.9827586206896551,0.09209611767780879,6,,0.05,,0.01,,,,,,,,,
XGB,0.6742424242424242,0.9317785534917906,0.9827586206896551,0.09158680264335203,6,,0.05,,0,,,,,,,,,
XGB,0.6742424242424242,0.9306744739555077,0.9827586206896551,0.09109890972659315,6,,0.05,,0.001,,,,,,,,,
BaggingClassifier,0.6956521739130436,0.9283728162847493,0.9742120343839542,0.08097027727661328,,16,,,,,,,,,,,,
XGB,0.6303501945525292,0.9282610322723801,0.9828571428571428,0.10481207850571982,20,,0.1,,0.5,,,,,,,,,
SVC,0.9111111111111112,0.9275762698190482,0.9444444444444444,0.010372370019841207,,,,1,,poly,0.5,2,,,,,,
RandomForestClassifier,0.7436823104693141,0.9273264886898305,0.9681159420289854,0.0660868748427866,20,8,,,,,,,,,,,,
SVC,0.9139784946236559,0.9272252104949915,0.95,0.011465943705078608,,,,1,,poly,1,2,,,,,,
XGB,0.616600790513834,0.9269715743954435,0.9855907780979827,0.11095792904185392,6,,0.1,,0.01,,,,,,,,,
XGB,0.6111111111111112,0.9255219402905107,0.9856733524355301,0.11268670662326526,6,,0.1,,0.001,,,,,,,,,
XGB,0.6111111111111112,0.9254941329719604,0.9855907780979827,0.1125557476228296,6,,0.1,,0,,,,,,,,,
XGB,0.6363636363636364,0.9249077427995506,0.9828571428571428,0.10457024649375027,20,,1,,0.1,,,,,,,,,
RandomForestClassifier,0.7612456747404844,0.9246524116444548,0.9684813753581663,0.06345950863090254,12,8,,,,,,,,,,,,
XGB,0.6076923076923078,0.9242706543877356,0.9800569800569799,0.11198509481465162,12,,1,,0.001,,,,,,,,,
XGB,0.5829959514170041,0.923632451119299,0.9828571428571428,0.11981293874214764,6,,0.1,,0.1,,,,,,,,,
XGB,0.5887096774193548,0.9235396723495632,0.9856733524355301,0.11930768191638691,6,,0.1,,0.5,,,,,,,,,
XGB,0.6409266409266409,0.9230856688147091,0.9828571428571428,0.10182097099806821,20,,1,,0,,,,,,,,,
XGB,0.5984251968503937,0.9230751325340251,0.9828571428571428,0.11580021192526029,12,,1,,0,,,,,,,,,
XGB,0.6177606177606177,0.9227737995782075,0.9800569800569799,0.10658506591170598,12,,1,,0.1,,,,,,,,,
XGB,0.6390977443609023,0.9223437021262045,0.9799426934097422,0.10111834480646946,20,,1,,0.5,,,,,,,,,
XGB,0.6513409961685824,0.9222680671708849,0.9828571428571428,0.10019369569454861,20,,1,,0.01,,,,,,,,,
XGB,0.6409266409266409,0.9222443774541318,0.9800569800569799,0.10135237605427933,20,,1,,0.001,,,,,,,,,
XGB,0.6023166023166023,0.9207150638697493,0.9827586206896551,0.1132195361523207,12,,1,,0.01,,,,,,,,,
XGB,0.6417910447761194,0.9202784870056562,0.9772727272727273,0.09956374122152566,12,,1,,0.5,,,,,,,,,
XGB,0.5691699604743082,0.9174993307614125,0.9855907780979827,0.12225989158381849,6,,1,,0.5,,,,,,,,,
GradientBoostingClassifier,0.5783132530120483,0.9164670938737622,0.9770114942528735,0.11769933204958809,,128,0.05,,,,,,,,,,,
XGB,0.55,0.9149545735360192,0.9799426934097422,0.12837242917908245,6,,1,,0.1,,,,,,,,,
SVC,0.8936170212765957,0.9145197783748721,0.931129476584022,0.011064895057839542,,,,1,,poly,5,2,,,,,,
XGB,0.5609756097560976,0.9143291383014953,0.9772727272727273,0.12504728835271525,6,,1,,0.01,,,,,,,,,
XGB,0.5491803278688525,0.9136231106851559,0.9800569800569799,0.1285600995840187,6,,1,,0.001,,,,,,,,,
RandomForestClassifier,0.7615894039735099,0.9132849812793046,0.9491525423728814,0.053384259935645585,6,128,,,,,,,,,,,,
XGB,0.6141732283464567,0.9128845202582173,0.9712643678160918,0.10685267984105717,3,,0.05,,0.1,,,,,,,,,
XGB,0.5491803278688525,0.9127925539223958,0.9745042492917847,0.12815441243637352,6,,1,,0,,,,,,,,,
XGB,0.48484848484848486,0.9127672881385471,0.9800569800569799,0.14819439949918586,3,,0.1,,0.5,,,,,,,,,
XGB,0.6141732283464567,0.9120608000610149,0.9688385269121813,0.10642850477099298,3,,0.05,,0.001,,,,,,,,,
XGB,0.6141732283464567,0.9120608000610149,0.9688385269121813,0.10642850477099298,3,,0.05,,0.01,,,,,,,,,
XGB,0.6141732283464567,0.9120608000610149,0.9688385269121813,0.10642850477099298,3,,0.05,,0,,,,,,,,,
XGB,0.4892703862660944,0.9119534537660622,0.9828571428571428,0.14758617721817147,3,,0.1,,0,,,,,,,,,
XGB,0.4892703862660944,0.9119534537660622,0.9828571428571428,0.14758617721817147,3,,0.1,,0.001,,,,,,,,,
XGB,0.4892703862660944,0.9119534537660622,0.9828571428571428,0.14758617721817147,3,,0.1,,0.01,,,,,,,,,
XGB,0.4936170212765957,0.9118312863212482,0.9828571428571428,0.14609910797817527,3,,0.1,,0.1,,,,,,,,,
RandomForestClassifier,0.7540983606557377,0.9107821537886889,0.9488636363636364,0.05521541437403662,6,32,,,,,,,,,,,,
XGB,0.5952380952380952,0.9103600921208829,0.9712643678160918,0.11261983838271285,3,,0.05,,0.5,,,,,,,,,
XGB,0.5042016806722689,0.9084318708195941,0.9828571428571428,0.14484473463914768,3,,1,,0.5,,,,,,,,,
RandomForestClassifier,0.7682119205298013,0.9064684991630794,0.9401709401709402,0.04955001573837029,6,16,,,,,,,,,,,,
GradientBoostingClassifier,0.44642857142857145,0.905333156024286,0.9885057471264368,0.16047871280887527,,128,0.5,,,,,,,,,,,
AdaBoostClassifier,0.5984251968503937,0.9047956446812675,0.9690140845070422,0.1110162330618255,,128,0.5,,,,,,,,,,,
XGB,0.44933920704845814,0.9035097991982152,0.9855907780979827,0.1578738243324006,3,,1,,0.1,,,,,,,,,
XGB,0.45814977973568277,0.9033936247606029,0.9855907780979827,0.1553187194519498,3,,1,,0,,,,,,,,,
XGB,0.45814977973568277,0.9031332790457117,0.9855907780979827,0.15524646965699065,3,,1,,0.001,,,,,,,,,
GradientBoostingClassifier,0.4649122807017544,0.9016257988193566,0.9772727272727273,0.1532597200326646,,32,0.5,,,,,,,,,,,
XGB,0.43946188340807174,0.9003824205179844,0.9855907780979827,0.159707906127953,3,,1,,0.01,,,,,,,,,
GradientBoostingClassifier,0.4649122807017544,0.8979926379853168,0.9855907780979827,0.15413704537240597,,128,1,,,,,,,,,,,
GradientBoostingClassifier,0.5185185185185185,0.8977333343544084,0.9659090909090908,0.13328597250719723,,16,0.5,,,,,,,,,,,
GradientBoostingClassifier,0.5425101214574899,0.8964162801476541,0.9717514124293786,0.12798946324546526,,16,1,,,,,,,,,,,
XGB,0.7166123778501629,0.8950453174302396,0.9595375722543353,0.07012931615731527,12,,0.001,,0.001,,,,,,,,,
XGB,0.7166123778501629,0.8950453174302396,0.9595375722543353,0.07012931615731527,12,,0.001,,0,,,,,,,,,
XGB,0.7166123778501629,0.8950453174302396,0.9595375722543353,0.07012931615731527,12,,0.001,,0.01,,,,,,,,,
XGB,0.7166123778501629,0.8950453174302396,0.9595375722543353,0.07012931615731527,12,,0.001,,0.1,,,,,,,,,
GradientBoostingClassifier,0.4892703862660944,0.894995556373113,0.9715909090909092,0.14506654055808604,,32,1,,,,,,,,,,,
XGB,0.7166123778501629,0.8949809028914725,0.9567723342939481,0.07009272397099839,12,,0.001,,0.5,,,,,,,,,
XGB,0.7019867549668873,0.892233724359798,0.9567723342939481,0.07364602058117303,20,,0.001,,0.001,,,,,,,,,
XGB,0.7019867549668873,0.892233724359798,0.9567723342939481,0.07364602058117303,20,,0.001,,0,,,,,,,,,
XGB,0.7019867549668873,0.892233724359798,0.9567723342939481,0.07364602058117303,20,,0.001,,0.01,,,,,,,,,
XGB,0.7019867549668873,0.8921856600660065,0.9567723342939481,0.07368563666009274,20,,0.001,,0.5,,,,,,,,,
XGB,0.7019867549668873,0.891613594489668,0.9567723342939481,0.07347954258871311,20,,0.001,,0.1,,,,,,,,,
AdaBoostClassifier,0.47210300429184554,0.8906282874708296,0.9715909090909092,0.14761006257145923,,128,1.0,,,,,,,,,,,
RandomForestClassifier,0.7540983606557377,0.8889870679876546,0.9269662921348315,0.04875734969301665,6,8,,,,,,,,,,,,
GradientBoostingClassifier,0.662020905923345,0.8806975809314634,0.9355742296918766,0.0787963176015896,,32,0.05,,,,,,,,,,,
XGB,0.7255520504731863,0.8737943721311531,0.9299719887955182,0.05958661417479754,6,,0.001,,0.01,,,,,,,,,
XGB,0.7255520504731863,0.8737943721311531,0.9299719887955182,0.05958661417479754,6,,0.001,,0.5,,,,,,,,,
XGB,0.7255520504731863,0.8737943721311531,0.9299719887955182,0.05958661417479754,6,,0.001,,0.001,,,,,,,,,
