estimator,min_score,mean_score,max_score,std_score,max_depth,n_estimators,learning_rate,C,gamma,kernel,coef0,degree,n_neighbors,weights,alpha,l1_ratio,loss,penalty
RandomForestClassifier,0.9014925373134328,0.9764893448677802,1.0,0.02622493719125726,20,128,,,,,,,,,,,,
SVC,0.9484536082474228,0.9760161445320514,0.983957219251337,0.009848015302250046,,,,50,0.001,rbf,,,,,,,,
RandomForestClassifier,0.8693009118541033,0.9721940233172177,0.997289972899729,0.03556549251859266,20,32,,,,,,,,,,,,
SVC,0.9536082474226805,0.9719013653307679,0.9814323607427056,0.009701423718221585,,,,10,,poly,0.5,3,,,,,,
SVC,0.9536082474226805,0.9719013653307679,0.9814323607427056,0.009701423718221585,,,,50,,poly,0.5,3,,,,,,
RandomForestClassifier,0.9190751445086704,0.9714541071176889,0.9945945945945946,0.019481120721137044,12,128,,,,,,,,,,,,
SVC,0.9536082474226805,0.971374367490226,0.983957219251337,0.008615237765402472,,,,50,,poly,0.5,5,,,,,,
SVC,0.9536082474226805,0.971374367490226,0.983957219251337,0.008615237765402472,,,,10,,poly,0.5,5,,,,,,
SVC,0.9511568123393317,0.9706459874567654,0.9814323607427056,0.01066960879035997,,,,1,,poly,1,5,,,,,,
SVC,0.9511568123393317,0.9706418981424424,0.9814323607427056,0.01041633341197143,,,,50,,poly,1,5,,,,,,
SVC,0.9511568123393317,0.9706418981424424,0.9814323607427056,0.01041633341197143,,,,10,,poly,1,5,,,,,,
XGB,0.8141025641025642,0.9688034518753497,0.9945945945945946,0.05186959989364406,20,,0.05,,0.1,,,,,,,,,
XGB,0.8102893890675241,0.9686986463483518,0.9973045822102425,0.053146062623890676,12,,0.05,,0.5,,,,,,,,,
BaggingClassifier,0.8553846153846154,0.9686760718406362,0.9892473118279571,0.03821439056245665,,128,,,,,,,,,,,,
XGB,0.8253968253968255,0.968631121812727,0.9945945945945946,0.04811115303900659,20,,0.05,,0.001,,,,,,,,,
SVC,0.9511568123393317,0.9685586778692713,0.9787234042553191,0.008214902972293398,,,,1,,poly,0.5,5,,,,,,
SVC,0.9435897435897436,0.9683161342567077,0.9814323607427056,0.00944097139129133,,,,10,,poly,0.5,2,,,,,,
SVC,0.9411764705882353,0.967877346694098,0.9814323607427056,0.012138742464689805,,,,1,,poly,1,3,,,,,,
SVC,0.9435897435897436,0.9678192487247752,0.9762532981530343,0.009773250678016389,,,,50,,poly,1,3,,,,,,
