estimator,min_score,mean_score,max_score,std_score,max_depth,n_estimators,learning_rate,C,gamma,kernel,coef0,degree,n_neighbors,weights,alpha,l1_ratio,loss,penalty
RandomForestClassifier,0.954177897574124,0.9923182983088926,1.0,0.01327432461339799,20,128,,,,,,,,,,,,
RandomForestClassifier,0.968421052631579,0.992192226217739,1.0,0.008719512400252647,12,128,,,,,,,,,,,,
RandomForestClassifier,0.9485094850948509,0.9920018700464773,1.0,0.014716306994483895,20,32,,,,,,,,,,,,
RandomForestClassifier,0.9513513513513513,0.9917665587106559,1.0,0.013722948447332455,20,8,,,,,,,,,,,,
RandomForestClassifier,0.9656992084432718,0.9916655814996937,1.0,0.0095536520605532,12,32,,,,,,,,,,,,
XGB,0.9546666666666667,0.9910750926750278,1.0,0.012792640320044745,6,,0.1,,0.01,,,,,,,,,
XGB,0.9546666666666667,0.9908180335916041,1.0,0.012740554478313092,6,,0.1,,0,,,,,,,,,
XGB,0.9518716577540107,0.9907956604276349,1.0,0.013495592975826155,6,,1,,0,,,,,,,,,
XGB,0.9518716577540107,0.9907956604276349,1.0,0.013495592975826155,6,,1,,0.001,,,,,,,,,
RandomForestClassifier,0.9453551912568305,0.9906541600137707,1.0,0.01544877809312133,20,16,,,,,,,,,,,,
XGB,0.9518716577540107,0.9905412412189847,1.0,0.013537940289121836,6,,1,,0.01,,,,,,,,,
XGB,0.9518716577540107,0.9905385327003385,1.0,0.013536376682879627,6,,0.1,,0.001,,,,,,,,,
SGDClassifier,0.9769820971867007,0.990480280255308,1.0,0.006764877051810667,,,,,,,,,,,0.0001,0.5,hinge,elasticnet
SGDClassifier,0.9793814432989691,0.9904378823185584,0.9974025974025974,0.005650274448070164,,,,,,,,,,,0.0001,0.5,log,elasticnet
XGB,0.9574468085106383,0.9903221860337716,1.0,0.01171277705149136,6,,0.1,,0.1,,,,,,,,,
XGB,0.9572192513368983,0.9903074325438043,1.0,0.011944273397372161,6,,1,,0.1,,,,,,,,,
XGB,0.9546666666666667,0.9903051381685403,1.0,0.01266421495256986,20,,0.1,,0,,,,,,,,,
XGB,0.9518716577540107,0.990297392996958,1.0,0.013956860328248074,12,,1,,0.1,,,,,,,,,
XGB,0.9574468085106383,0.9900703662423102,1.0,0.011858922219597896,12,,0.1,,0.001,,,,,,,,,
XGB,0.9574468085106383,0.9900703662423102,1.0,0.011858922219597896,12,,0.1,,0,,,,,,,,,
XGB,0.9546666666666667,0.9900467507226528,1.0,0.012596217358221475,12,,0.1,,0.1,,,,,,,,,
XGB,0.9518716577540107,0.9900269796585348,1.0,0.013553523402406736,20,,0.1,,0.1,,,,,,,,,
XGB,0.9518716577540107,0.9900256372772747,1.0,0.013453898921691536,20,,0.1,,0.001,,,,,,,,,
XGB,0.9490616621983914,0.9900084729731177,1.0,0.014464917223717134,12,,1,,0.001,,,,,,,,,
XGB,0.9490616621983914,0.9900084729731177,1.0,0.014464917223717134,12,,1,,0.01,,,,,,,,,
XGB,0.9490616621983914,0.9900084729731177,1.0,0.014464917223717134,12,,1,,0,,,,,,,,,
XGB,0.960212201591512,0.9898274562211423,0.9974025974025974,0.01075699570627112,12,,0.05,,0.1,,,,,,,,,
XGB,0.9490616621983914,0.9897459730935747,1.0,0.01430043935705506,20,,0.1,,0.01,,,,,,,,,
SVC,0.9795918367346939,0.9897234422996208,0.9974025974025974,0.005677726878114539,,,,10,,poly,0.5,3,,,,,,
SVC,0.9795918367346939,0.9897234422996208,0.9974025974025974,0.005677726878114539,,,,50,,poly,0.5,3,,,,,,
XGB,0.9436997319034852,0.9897226929291388,1.0,0.015846284391406115,20,,1,,0,,,,,,,,,
XGB,0.9436997319034852,0.9897226929291388,1.0,0.015846284391406115,20,,1,,0.001,,,,,,,,,
SVC,0.9795918367346939,0.989722127471669,0.9974025974025974,0.005561957974101668,,,,10,,poly,1,5,,,,,,
SVC,0.9795918367346939,0.989722127471669,0.9974025974025974,0.005561957974101668,,,,50,,poly,1,5,,,,,,
SVC,0.9795918367346939,0.989722127471669,0.9974025974025974,0.005561957974101668,,,,1,,poly,1,5,,,,,,
SVC,0.9795918367346939,0.989716928012418,0.9948186528497409,0.005084079253972564,,,,50,0.001,rbf,,,,,,,,
XGB,0.9546666666666667,0.989540614025579,1.0,0.012759687493911745,6,,0.1,,0.5,,,,,,,,,
XGB,0.9546666666666667,0.9895339576026272,1.0,0.012495491412131727,12,,0.1,,0.01,,,,,,,,,
XGB,0.9546666666666667,0.9895326325558054,1.0,0.012442480401655555,12,,0.1,,0.5,,,,,,,,,
XGB,0.9546666666666667,0.9895313581854387,1.0,0.012393284573506162,6,,1,,0.5,,,,,,,,,
BaggingClassifier,0.9569892473118279,0.9895012291060429,0.9974025974025974,0.011366625561931786,,128,,,,,,,,,,,,
XGB,0.9487870619946092,0.9894747328620632,1.0,0.014672519783763766,20,,1,,0.1,,,,,,,,,
XGB,0.9405405405405405,0.9894094549691609,1.0,0.01684603238558352,3,,0.1,,0.01,,,,,,,,,
XGB,0.9405405405405405,0.9894094549691609,1.0,0.01684603238558352,3,,0.1,,0,,,,,,,,,
XGB,0.9405405405405405,0.9894094549691609,1.0,0.01684603238558352,3,,0.1,,0.001,,,,,,,,,
XGB,0.9405405405405405,0.9894094549691609,1.0,0.01684603238558352,3,,0.1,,0.1,,,,,,,,,
XGB,0.962962962962963,0.9893366588790042,0.9974025974025974,0.010040907643434424,6,,0.05,,0.1,,,,,,,,,
XGB,0.960212201591512,0.9893186487803447,1.0,0.010814323438588928,20,,0.05,,0.5,,,,,,,,,
XGB,0.960212201591512,0.9893146631011167,0.9974025974025974,0.010628295493472365,12,,0.05,,0.01,,,,,,,,,
XGB,0.960212201591512,0.9893146631011167,0.9974025974025974,0.010628295493472365,12,,0.05,,0.5,,,,,,,,,
XGB,0.960212201591512,0.9893146631011167,0.9974025974025974,0.010628295493472365,12,,0.05,,0,,,,,,,,,
XGB,0.960212201591512,0.9893146631011167,0.9974025974025974,0.010628295493472365,12,,0.05,,0.001,,,,,,,,,
XGB,0.9518716577540107,0.98925313166454,1.0,0.013229079422289637,20,,0.1,,0.5,,,,,,,,,
SVC,0.9770992366412213,0.9892185291742029,0.9974025974025974,0.006097234546591851,,,,50,,poly,0.5,5,,,,,,
SVC,0.9770992366412213,0.9892185291742029,0.9974025974025974,0.006097234546591851,,,,10,,poly,0.5,5,,,,,,
