estimator,min_score,mean_score,max_score,std_score,max_depth,n_estimators,learning_rate,C,gamma,kernel,coef0,degree,n_neighbors,weights,alpha,l1_ratio,loss,penalty
RandomForestClassifier,0.8370607028753994,0.9793088689694327,0.9972602739726028,0.04746054219327617,20,128,,,,,,,,,,,,
RandomForestClassifier,0.8269230769230768,0.9769446249150482,1.0,0.05014109480170224,12,128,,,,,,,,,,,,
RandomForestClassifier,0.8143322475570033,0.9759535786009208,0.9972602739726028,0.053926024495445785,12,32,,,,,,,,,,,,
RandomForestClassifier,0.7744107744107744,0.9722383155801264,0.9972451790633609,0.0660030572747915,20,32,,,,,,,,,,,,
SVC,0.9528795811518325,0.9721822365500893,0.9837837837837838,0.007729653204795006,,,,50,0.001,rbf,,,,,,,,
RandomForestClassifier,0.8102893890675241,0.9717387454243502,1.0,0.054086937539762035,12,16,,,,,,,,,,,,
SVC,0.9576719576719577,0.9669987100074688,0.9836956521739131,0.006695938332914642,,,,1,,poly,0.5,5,,,,,,
BaggingClassifier,0.7551020408163266,0.9669880811818341,0.9972602739726028,0.07078050752379055,,128,,,,,,,,,,,,
RandomForestClassifier,0.7560137457044673,0.966836551577309,0.994475138121547,0.07033692065884319,20,16,,,,,,,,,,,,
SVC,0.9551451187335093,0.9664809024201146,0.9810298102981029,0.0067748303412675966,,,,10,,poly,0.5,5,,,,,,
SVC,0.9551451187335093,0.9664809024201146,0.9810298102981029,0.0067748303412675966,,,,50,,poly,0.5,5,,,,,,
SVC,0.9528795811518325,0.9657288958620927,0.9757412398921832,0.007703400861250254,,,,10,,poly,0.5,3,,,,,,
SVC,0.9528795811518325,0.9654721384224567,0.9757412398921832,0.00766503651257937,,,,1,,poly,1,5,,,,,,
SVC,0.9503916449086162,0.9652277078492728,0.9758713136729222,0.008750775861853216,,,,10,0.001,rbf,,,,,,,,
SVC,0.9528795811518325,0.965211248803269,0.9757412398921832,0.007441488935378116,,,,50,,poly,0.5,3,,,,,,
SVC,0.9528795811518325,0.9652098423902276,0.9732620320855615,0.007347440947414873,,,,50,,poly,1,5,,,,,,
SVC,0.9528795811518325,0.9652098423902276,0.9732620320855615,0.007347440947414873,,,,10,,poly,1,5,,,,,,
SVC,0.9503916449086162,0.9629042110769935,0.9783783783783784,0.007018470615999424,,,,1,,poly,0.5,3,,,,,,
SVC,0.9479166666666667,0.9624254424394781,0.9757412398921832,0.008991958833238283,,,,50,,poly,0.5,2,,,,,,
SVC,0.9503916449086162,0.9621582856361517,0.9757412398921832,0.008528305050322753,,,,10,,poly,1,3,,,,,,
SVC,0.9503916449086162,0.9621582856361517,0.9757412398921832,0.008528305050322753,,,,50,,poly,1,3,,,,,,
SVC,0.9503916449086162,0.9616305853799092,0.9705093833780161,0.007058291447298838,,,,10,,poly,0.5,2,,,,,,
SVC,0.9454545454545454,0.9606330350021096,0.9731182795698924,0.008402655086753308,,,,1,,poly,1,3,,,,,,
BaggingClassifier,0.7342657342657343,0.9595099290366861,0.9945054945054945,0.07527959765919262,,32,,,,,,,,,,,,
SVC,0.9430051813471504,0.9581080878227105,0.9731182795698924,0.008887501994387153,,,,50,,poly,1,2,,,,,,
SVC,0.9405684754521965,0.9571128393488314,0.9731182795698924,0.009783395182560608,,,,50,,poly,5,5,,,,,,
SVC,0.9405684754521965,0.9571128393488314,0.9731182795698924,0.009783395182560608,,,,1,,poly,5,5,,,,,,
SVC,0.9405684754521965,0.9571128393488314,0.9731182795698924,0.009783395182560608,,,,10,,poly,5,5,,,,,,
SVC,0.9451697127937337,0.9571037568194797,0.9731182795698924,0.009132217703984423,,,,10,,poly,1,2,,,,,,
RandomForestClassifier,0.7424749163879599,0.9556906836800844,0.9890710382513661,0.07133420395281083,12,8,,,,,,,,,,,,
SVC,0.9333333333333333,0.9553461644073142,0.9679144385026738,0.00945187983620494,,,,50,,poly,5,3,,,,,,
SVC,0.9333333333333333,0.9553461644073142,0.9679144385026738,0.00945187983620494,,,,10,,poly,5,3,,,,,,
SVC,0.9333333333333333,0.9546024942900304,0.9679144385026738,0.009974426587691418,,,,1,,poly,5,3,,,,,,
RandomForestClassifier,0.7974683544303797,0.953374292646631,0.9836065573770493,0.05271093508786929,6,128,,,,,,,,,,,,
BaggingClassifier,0.6884057971014492,0.9532747083814093,0.994475138121547,0.08849999542865596,,16,,,,,,,,,,,,
RandomForestClassifier,0.6931407942238267,0.9531407546188996,0.9916434540389973,0.08683437179011758,20,8,,,,,,,,,,,,
SVC,0.9309462915601023,0.9523732142253027,0.9679144385026738,0.01102724805875971,,,,50,,poly,5,2,,,,,,
XGB,0.5859375,0.9523071595083815,1.0,0.12216601378614693,12,,0.05,,0.1,,,,,,,,,
SVC,0.9309462915601023,0.9518838901794229,0.9679144385026738,0.011463732683898054,,,,10,,poly,5,2,,,,,,
XGB,0.5691699604743083,0.9511693792213249,1.0,0.12736803967799987,12,,0.05,,0.01,,,,,,,,,
XGB,0.5748031496062993,0.9506368779516988,0.9972602739726028,0.1253064120048478,12,,0.05,,0.001,,,,,,,,,
XGB,0.5748031496062993,0.9506294000497988,0.9972602739726028,0.1252981925619198,12,,0.05,,0,,,,,,,,,
XGB,0.5577689243027888,0.9503033219065864,1.0,0.13087192230811093,20,,0.05,,0,,,,,,,,,
XGB,0.5577689243027888,0.949752366081899,1.0,0.13069041299169526,20,,0.05,,0.1,,,,,,,,,
XGB,0.5577689243027888,0.949482926098885,1.0,0.13059486749593682,20,,0.05,,0.001,,,,,,,,,
XGB,0.552,0.9489148083158566,1.0,0.13235549293069732,20,,0.05,,0.01,,,,,,,,,
XGB,0.552,0.9478218481269982,0.9972451790633609,0.13199603550191125,12,,0.05,,0.5,,,,,,,,,
XGB,0.5461847389558233,0.9477809152063996,0.9972451790633609,0.13389152787687206,20,,0.05,,0.5,,,,,,,,,
SVC,0.9375000000000001,0.9473453880627731,0.9653333333333334,0.008656490753701522,,,,1,,poly,1,2,,,,,,
SVC,0.9399477806788512,0.9466660339998658,0.9597855227882036,0.005970709024575529,,,,1,,poly,0.5,2,,,,,,
RandomForestClassifier,0.7936507936507936,0.9463416477857617,0.9757412398921832,0.051688699981058635,6,32,,,,,,,,,,,,
SVC,0.9215189873417722,0.9461398990920143,0.9653333333333334,0.01142264664021701,,,,1,,poly,5,2,,,,,,
XGB,0.5102880658436214,0.9460972131230495,0.9972602739726028,0.1452850762738926,20,,0.1,,0,,,,,,,,,
XGB,0.5102880658436214,0.946097196806057,0.9972602739726028,0.14528501544921416,12,,0.1,,0.01,,,,,,,,,
XGB,0.5102880658436214,0.9455642033941416,1.0,0.14512649797340008,6,,0.05,,0,,,,,,,,,
XGB,0.5020576131687243,0.9452920324935722,1.0,0.14778948347169577,6,,0.05,,0.1,,,,,,,,,
XGB,0.5102880658436214,0.945291736135373,1.0,0.14503688758666805,6,,0.05,,0.001,,,,,,,,,
XGB,0.4958677685950413,0.9452120956692666,1.0,0.1498098975666598,6,,0.05,,0.01,,,,,,,,,
XGB,0.5102880658436214,0.9450116933990864,0.9972602739726028,0.14493878149192535,12,,0.1,,0.1,,,,,,,,,
XGB,0.49792531120331945,0.9445928964834804,0.9972602739726028,0.14891114910690814,20,,0.1,,0.01,,,,,,,,,
XGB,0.49792531120331945,0.9445914118750259,0.9972602739726028,0.1489157751544514,20,,0.1,,0.001,,,,,,,,,
XGB,0.4916666666666667,0.9445104981191736,0.9972602739726028,0.15096966464794986,20,,0.1,,0.5,,,,,,,,,
XGB,0.49792531120331945,0.9443234566371832,0.9972451790633609,0.14881801625487387,12,,0.1,,0,,,,,,,,,
XGB,0.49792531120331945,0.944320478786063,0.9972451790633609,0.14881207750195233,12,,0.1,,0.001,,,,,,,,,
XGB,0.4916666666666667,0.9436901225075411,0.9972602739726028,0.15069318226039136,20,,0.1,,0.1,,,,,,,,,
XGB,0.4705882352941176,0.9424072244542598,1.0,0.15729401438687154,6,,0.05,,0.5,,,,,,,,,
XGB,0.48535564853556484,0.9417084062652881,0.9972451790633609,0.1521596195893619,12,,0.1,,0.5,,,,,,,,,
XGB,0.5041322314049588,0.9398127477430812,0.9918256130790191,0.1452857517113855,20,,1,,0.1,,,,,,,,,
XGB,0.4916666666666667,0.9385791848532433,0.9945054945054945,0.14905141740025754,20,,1,,0,,,,,,,,,
XGB,0.47499999999999987,0.9379616089279595,0.9918256130790191,0.15433201513948214,20,,1,,0.01,,,,,,,,,
XGB,0.4916666666666667,0.9377662375825304,0.9917808219178083,0.14876606702075829,20,,1,,0.001,,,,,,,,,
XGB,0.49382716049382713,0.9376953822609517,0.994535519125683,0.1480135415987086,20,,1,,0.5,,,,,,,,,
XGB,0.42608695652173906,0.9376950038126486,1.0,0.17057924359915438,6,,0.1,,0.01,,,,,,,,,
XGB,0.5102880658436214,0.937495427507179,0.994535519125683,0.14251697213377618,12,,1,,0.5,,,,,,,,,
XGB,0.4661016949152542,0.9373516257351879,0.994535519125683,0.15712872799565603,12,,1,,0.1,,,,,,,,,
RandomForestClassifier,0.7809523809523811,0.9361965737397503,0.972972972972973,0.05258662358436374,6,16,,,,,,,,,,,,
XGB,0.4035087719298246,0.9357052423818535,1.0,0.17742995670460754,6,,0.1,,0.001,,,,,,,,,
XGB,0.3964757709251101,0.9355453713869654,1.0,0.17971450722994003,6,,0.1,,0.1,,,,,,,,,
XGB,0.45299145299145294,0.9355016427938327,0.9972451790633609,0.16089148889600743,12,,1,,0,,,,,,,,,
XGB,0.45299145299145294,0.9355016427938327,0.9972451790633609,0.16089148889600743,12,,1,,0.001,,,,,,,,,
XGB,0.4035087719298246,0.935432775123085,1.0,0.17734152191418895,6,,0.1,,0,,,,,,,,,
XGB,0.45957446808510644,0.9353410211966813,0.9918256130790191,0.15860723339390143,12,,1,,0.01,,,,,,,,,
