estimator,min_score,mean_score,max_score,std_score,max_depth,n_estimators,learning_rate,C,gamma,kernel,coef0,degree,n_neighbors,weights,alpha,l1_ratio,loss,penalty
SVC,0.7692307692307692,0.9194749694749694,1.0,0.07795997180688839,,,,50,0.001,rbf,,,,,,,,
SVC,0.7692307692307692,0.916977466977467,1.0,0.07103972611506064,,,,50,,poly,0.5,3,,,,,,
SVC,0.7692307692307692,0.916977466977467,1.0,0.07103972611506064,,,,10,,poly,0.5,3,,,,,,
SVC,0.8333333333333333,0.9158119658119658,1.0,0.06523361145235156,,,,50,,poly,0.5,5,,,,,,
SVC,0.8333333333333333,0.9158119658119658,1.0,0.06523361145235156,,,,10,,poly,0.5,5,,,,,,
SVC,0.8333333333333333,0.9158119658119658,1.0,0.06523361145235156,,,,1,,poly,0.5,5,,,,,,
SVC,0.7692307692307692,0.9103840603840604,1.0,0.07319472243906613,,,,50,,poly,1,3,,,,,,
SVC,0.7692307692307692,0.9103840603840604,1.0,0.07319472243906613,,,,50,,poly,0.5,2,,,,,,
SVC,0.7692307692307692,0.9103840603840604,1.0,0.07319472243906613,,,,10,,poly,1,3,,,,,,
SVC,0.7692307692307692,0.9103840603840604,1.0,0.07319472243906613,,,,10,,poly,0.5,2,,,,,,
SVC,0.7692307692307692,0.9103840603840604,1.0,0.07319472243906613,,,,1,,poly,1,3,,,,,,
SVC,0.7692307692307692,0.9083638583638584,1.0,0.07348076750050647,,,,10,0.001,rbf,,,,,,,,
SVC,0.7692307692307692,0.9026917526917526,1.0,0.06716624902663544,,,,10,,poly,1,2,,,,,,
SVC,0.7692307692307692,0.9026917526917526,1.0,0.06716624902663544,,,,50,,poly,1,2,,,,,,
SVC,0.7692307692307692,0.9017094017094017,1.0,0.06943622568064925,,,,50,,poly,1,5,,,,,,
SVC,0.7692307692307692,0.9017094017094017,1.0,0.06943622568064925,,,,1,,poly,1,5,,,,,,
SVC,0.7692307692307692,0.9017094017094017,1.0,0.06943622568064925,,,,10,,poly,1,5,,,,,,
SVC,0.7692307692307692,0.8962814962814962,1.0,0.07596274085438351,,,,1,,poly,5,5,,,,,,
SVC,0.7692307692307692,0.8962814962814962,1.0,0.07596274085438351,,,,10,,poly,5,5,,,,,,
SVC,0.7692307692307692,0.8962814962814962,1.0,0.07596274085438351,,,,50,,poly,5,5,,,,,,
SVC,0.8333333333333333,0.8957264957264958,1.0,0.06237559757442372,,,,1,,poly,0.5,3,,,,,,
SVC,0.7142857142857143,0.8932844932844933,1.0,0.09273695178576795,,,,10,,poly,5,3,,,,,,
SVC,0.7142857142857143,0.8932844932844933,1.0,0.09273695178576795,,,,50,,poly,5,3,,,,,,
SVC,0.7142857142857143,0.8932844932844933,1.0,0.09273695178576795,,,,1,,poly,5,3,,,,,,
SVC,0.7142857142857143,0.8841935841935842,1.0,0.08604453462670637,,,,10,,poly,5,2,,,,,,
SVC,0.7142857142857143,0.8841935841935842,1.0,0.08604453462670637,,,,1,,poly,5,2,,,,,,
SVC,0.7142857142857143,0.8841935841935842,1.0,0.08604453462670637,,,,50,,poly,5,2,,,,,,
SVC,0.7692307692307692,0.8826062826062826,1.0,0.06016265304718555,,,,1,,poly,1,2,,,,,,
SGDClassifier,0.7272727272727272,0.8803141303141302,1.0,0.0834940342896608,,,,,,,,,,,0.01,0.1,hinge,elasticnet
SGDClassifier,0.6666666666666665,0.8766344766344766,1.0,0.12042863621721515,,,,,,,,,,,0.01,0.1,log,elasticnet
AdaBoostClassifier,0.5714285714285715,0.8686813186813186,1.0,0.12635252252518123,,16,1.0,,,,,,,,,,,
SGDClassifier,0.7692307692307692,0.8637906537906538,1.0,0.06545684365749221,,,,,,,,,,,0.01,0.5,log,elasticnet
SVC,0.6666666666666666,0.8618603618603619,1.0,0.10061705459599397,,,,1,,poly,0.5,2,,,,,,
SGDClassifier,0.5714285714285715,0.860933510933511,1.0,0.11998658145370902,,,,,,,,,,,0.01,0.5,hinge,elasticnet
AdaBoostClassifier,0.5714285714285715,0.8510434010434011,1.0,0.11594872154974847,,16,0.5,,,,,,,,,,,
GradientBoostingClassifier,0.6153846153846153,0.8462065712065712,1.0,0.130742468280393,,16,0.5,,,,,,,,,,,
RandomForestClassifier,0.5714285714285715,0.8440692640692641,1.0,0.14246329021690263,6,8,,,,,,,,,,,,
RandomForestClassifier,0.5714285714285715,0.8440659340659341,1.0,0.14198730676498267,3,16,,,,,,,,,,,,
SGDClassifier,0.7058823529411764,0.8438483085541908,1.0,0.08210341304651417,,,,,,,,,,,0.01,1,log,l1
BaggingClassifier,0.5,0.8365850815850816,1.0,0.14412229869039495,,16,,,,,,,,,,,,
SVC,0.6666666666666666,0.8359551559551559,1.0,0.11076541564199513,,,,50,0.0001,rbf,,,,,,,,
XGB,0.33333333333333337,0.8342268842268842,1.0,0.19305506863458488,20,,1,,0.1,,,,,,,,,
XGB,0.33333333333333337,0.8342268842268842,1.0,0.19305506863458488,12,,1,,0.1,,,,,,,,,
XGB,0.33333333333333337,0.8342268842268842,1.0,0.19305506863458488,6,,1,,0.1,,,,,,,,,
XGB,0.33333333333333337,0.8341258741258741,1.0,0.21514167067159498,3,,1,,0.1,,,,,,,,,
GradientBoostingClassifier,0.6666666666666666,0.831841491841492,1.0,0.0980161506823155,,16,0.05,,,,,,,,,,,
SGDClassifier,0.7142857142857143,0.8301265401265401,0.923076923076923,0.0730618333945334,,,,,,,,,,,0.01,1,hinge,l1
SGDClassifier,0.7142857142857143,0.8297102897102897,0.923076923076923,0.07020639284189625,,,,,,,,,,,0.01,0.9,hinge,l1
SGDClassifier,0.7058823529411764,0.8285852382911205,1.0,0.09222799197054546,,,,,,,,,,,0.0001,0.5,log,elasticnet
